,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1634:_The_Ram_Rebellion,0.117490806,0.09546706,-0.13734731,0.12941723,0.049467802,0.060086526,0.061234448,0.070500724,0.05339731,-0.054754086,0.051386427,0.10484387,0.039626464,-0.08635941,0.061008893,0.07797107,0.11416552,0.05006777,0.10317753,-0.020531155,0.081606105,0.13342997,-0.023533147,-0.030022478,0.0044313325,-0.08040042,-0.12170625,-0.08527163,0.063537896,-0.0720228,-0.07136415,-0.10676137,-0.040510807,0.10477719,0.09205922,-0.13056614,0.017932385,-0.073613755,-0.07013047,-0.069243275,0.013980759,0.088652514,-0.13228959,0.076226644,0.083703406,0.056063086,-0.026166374,0.08510466,0.08030187,0.08613592,-0.11329824,-0.07707239,-0.057917558,-0.07098392,-0.09679495,0.08660097,0.14085308,0.08923365,0.12603416,-0.08226785,-0.08226196,0.01598153,0.0973572,-0.016286377,0.113782614,-0.07601899,-0.04577701,0.12568568,0.0785009,-0.074673064,0.031138048,-0.08597473,0.02567335,0.1384501,-0.108494416,-0.093175225,0.051919762,0.017025493,0.07932008,-0.100968584,-0.11245146,-0.07784516,-0.09884947,0.08812817,0.113551766,0.047723882,-0.076029964,-0.06859996,-0.13019979,-0.089458436,-0.041326355,-0.07725092,-0.043668047,-0.031342514,0.042539842,0.10642616,0.08503261,-0.06430482,0.11409188,0.056976814
1635:_The_Cannon_Law,0.094767496,0.12350007,-0.07813625,0.07758664,0.13118212,0.018922633,0.109524846,0.044393133,-0.026852684,-0.054571614,0.001731568,0.10106103,0.0627477,-0.11306106,0.06354746,0.10364863,0.10223663,0.048344806,0.028651416,0.029105408,0.09412483,0.12080031,0.042962335,0.009912911,0.08769511,-0.12280106,-0.04358432,0.011206564,0.1141104,-0.09163774,-0.110463925,-0.07663005,-0.035326794,0.09364374,0.08750458,-0.09806083,0.024625571,-0.080437645,-0.10000805,-0.08339406,0.0055983933,0.062278256,-0.07778884,0.09951259,0.07963506,0.050758176,-0.06295984,0.09249985,0.08587304,-0.013382597,-0.09226622,-0.0702987,-0.097795874,-0.088456616,-0.10075821,0.08556506,0.077998355,0.10609156,0.1489238,-0.112680204,-0.112203605,0.07657319,0.113221094,-0.05190665,0.052595377,-0.021429643,0.021265615,0.037559584,0.06020771,-0.034781877,0.09834576,-0.0673774,0.14479162,0.020828096,-0.10107852,-0.034616824,0.067784876,0.06624648,0.119938016,-0.09162209,-0.06854388,-0.024171975,-0.09872487,0.030234726,0.091493435,0.01461897,-0.121488586,-0.063059315,-0.10737015,-0.10181024,-0.11885636,-0.08135444,-0.018212195,-0.07632585,0.017978605,0.12085342,0.0951349,-0.012213346,0.094596066,0.15695792
2012_(film),0.00663429,0.0678032,-0.039141957,0.08904028,0.015299385,0.019743524,0.006026266,0.03410519,-0.062228624,-0.047802757,-0.01167147,0.04824298,-0.00035329998,-0.06384822,0.06420276,0.051719487,0.084088266,0.0025796515,0.09627137,-0.007418939,0.04547138,0.005176732,0.014130979,-0.024264479,0.091148935,-0.05468518,-0.081368074,-0.03117339,0.013877013,-0.018146824,-0.03125459,-0.045636807,-0.01925441,0.074177645,0.03955914,-0.09790913,-0.030053077,-0.025951395,0.015866874,-0.03734415,0.04471904,0.08182627,-0.078617066,0.033285554,0.029466435,0.04721885,-0.07097048,0.07034108,0.017040472,0.008304663,-0.044251144,-0.010281139,-0.017521104,-0.037361473,-0.018928628,0.06903515,0.0675928,0.07473526,0.097616285,-0.10855901,-0.02098967,0.010721975,0.03209192,0.004673756,0.036709942,-0.0035887342,-0.04984625,0.07673893,0.08898822,-0.1359793,-0.014831945,-0.07965304,0.06550303,0.08110134,-0.05998838,-0.06269992,0.036683165,0.06841121,0.039970394,-0.08421036,0.0013373058,0.023395138,-0.075161785,0.032106243,0.06545103,0.010776199,-0.0005512301,-0.118851595,-0.043470312,-0.07047838,-0.034674264,-0.041251104,0.008524703,-0.004060885,0.034744684,0.12123872,0.06394008,-0.00072757795,0.06094919,0.079586506
334,0.09263678,0.044482995,-0.07667814,0.05731778,0.081732646,0.05714303,0.005649324,-0.019951226,-0.010612893,-0.06815096,-0.061354373,0.030873556,0.048975494,-0.100508586,0.04706185,0.077169254,0.1230185,0.05042341,0.08405016,-0.0006290048,0.098099306,0.095888436,-0.028138103,-0.07739063,-0.018814597,-0.031804066,-0.06648093,-0.015824357,0.09055075,-0.030430581,-0.067441896,-0.03253662,0.06657697,0.09327468,0.12869205,-0.103406966,0.050101187,-0.09534244,-0.10358718,-0.06874429,-0.0012768676,0.053292338,-0.016768215,0.07797568,0.027607597,0.12766975,-0.11419688,0.049069654,0.10237389,0.0813267,-0.04207211,-0.08333829,-0.049531687,0.026806764,-0.07053149,0.1424836,0.062490504,0.051178105,0.11376334,-0.019356536,-0.09018061,-0.0466651,0.12564987,-0.049822062,0.04784466,-0.011526825,0.07196764,0.06790459,0.12515715,-0.09301743,0.05792251,-0.039159045,0.08487159,0.04643771,-0.061412387,-0.04723105,0.03869531,0.061230335,0.071557395,-0.10466442,-0.025070215,-0.016117807,-0.04355439,0.12087427,0.043984555,0.06791955,-0.0863423,-0.10141691,-0.15236756,-0.1621749,-0.14327304,-0.0034897502,0.013316046,-0.09667357,0.053661957,0.08842825,0.07832856,0.0100927595,0.11648103,0.09689006
360Commerce,0.03261626,0.06763554,-0.16713569,0.11985339,0.033370927,0.036326434,0.042201925,0.010800561,-0.024402356,-0.08526637,0.0045692814,0.16323358,0.035061527,-0.117519535,0.16158509,0.12988088,0.094288684,0.019310074,0.08572374,0.0020423091,0.027410755,0.08725689,-0.039341778,-0.032471746,0.03518573,-0.057112206,-0.06624915,-0.061741598,-0.0083866585,-0.037841313,-0.023641689,-0.0693387,-0.002798355,0.051861458,-0.021276075,-0.10218648,0.0992291,-0.035351045,-0.051139716,0.02117942,0.06329662,0.104856804,-0.07198562,0.04936215,0.039690677,0.046985567,-0.02030246,0.10845172,0.10243942,0.030190064,-0.031029113,-0.1005641,-0.0616998,-0.0922743,-0.073509976,0.08282003,0.10225019,0.0917737,0.11687097,-0.06593873,-0.07686394,0.004484235,0.052426346,-0.049618665,0.043952174,-0.039451327,0.025786318,0.08723959,0.0613817,-0.08928566,0.026159454,-0.04256226,0.082802586,0.11772341,-0.13360257,-0.055797182,-0.004206064,0.084467255,0.06632486,-0.07834214,-0.090332925,-0.04855676,-0.13048808,0.1096479,0.15861158,0.02224184,-0.052063473,-0.09914736,-0.0687987,-0.045606114,-0.10355729,-0.13756017,-0.032477777,-0.03477215,0.028161842,0.11947065,0.07560784,-0.034439344,0.09503045,0.112555295
A._E._van_Vogt,0.046177052,0.069054686,-0.060512055,0.04127765,0.0042388663,0.05563831,0.03202197,-0.025788663,0.06590517,-0.041689534,0.025578357,0.09608297,-0.01882959,-0.09486021,0.07007283,0.07374435,0.061540753,0.02270134,0.032874055,0.027516024,0.098805875,0.09652755,-0.026468059,0.041825987,-0.022859808,-0.075068414,-0.0458426,-0.07465672,0.09397805,0.02469962,-0.023617605,-0.08935573,-0.025272032,-0.006236208,0.08096989,-0.054901898,0.020814467,-0.047551673,-0.089844815,0.023647211,-0.034633104,0.09593403,-0.024551414,0.051216424,0.09130927,0.03399273,0.0066914177,0.08377246,0.072086364,0.03818535,-0.028352004,-0.038187146,-0.06431466,-0.076466255,-0.12157957,0.063428186,0.05245492,0.045382563,0.09565885,-0.08066777,-0.13093722,0.015985578,0.068739146,-0.07763382,0.052706912,-0.049175285,0.057033524,0.044271264,0.02966627,-0.047461182,0.05265063,0.023935363,0.049138695,0.046086114,-0.053348448,-0.07650435,0.0154085895,-0.009595061,0.061304882,-0.05710349,-0.059908,-0.048842877,-0.14069118,0.04511797,0.107078046,0.0047445307,-0.10751705,-0.043329276,-0.07601766,-0.055542465,-0.11985543,-0.025202444,-0.019906975,-0.0938477,0.07793755,0.07900493,0.07638123,-0.020074874,0.12182842,0.028991329
ABC_Family_Worldwide_Inc.,0.049928933,0.09670035,-0.12295592,0.06935132,0.028885914,0.026316116,0.00044000242,0.052822333,0.022553705,-0.013343839,0.018973362,0.06697814,0.021295087,-0.087350465,0.020068515,0.05417005,0.045521922,0.019118456,0.083876275,-0.04325556,0.05043962,0.077134065,0.0063721887,-0.005917183,0.04782175,-0.06531801,-0.10125326,-0.061976187,-0.004832013,0.04645873,-0.05547861,-0.047631755,-0.037255723,0.06537031,-0.015052152,-0.06947797,0.013953983,-0.03480536,-0.11393924,-0.039542824,0.0214076,0.025232583,-0.063095145,0.033593025,0.04759116,-0.009180811,-0.011501972,0.037892066,0.053687647,0.04910339,-0.034781743,-0.01638837,-0.033687733,-0.076527625,-0.059396546,0.054213762,0.06416944,0.081355445,0.12951097,-0.08970495,-0.10175133,-0.005360546,0.10792336,-0.007974433,0.07214209,0.045381054,-0.0307753,0.08729715,0.09379813,-0.068259045,0.021768281,-0.054490037,0.026089335,0.07209873,-0.06032056,-0.011185754,-0.011975611,0.08639207,0.01640069,-0.07690195,-0.0576156,-0.04912613,-0.073223226,0.057731174,0.08393074,0.038145356,-0.054131154,-0.099135555,-0.101293504,-0.074104056,-0.06676707,-0.09784084,-0.018364731,-0.047328882,0.052331615,0.093017295,0.13167971,-0.0134883635,0.11426077,0.1236106
ADC_Telecommunications,0.042637896,0.06221959,-0.062429305,0.07011063,-0.03060734,0.065233774,0.037645757,0.021650746,0.013439867,-0.07167966,-0.03358848,0.09049606,-0.021471439,-0.117716245,0.037901472,0.08457612,0.03132672,-0.010226943,0.09099599,-0.020959271,0.04304228,0.06844077,-0.035042908,0.011877529,0.011544399,-0.07725785,-0.09966122,-0.10047908,0.025955884,0.031170405,-0.037338536,-0.09104654,-0.01925524,0.023684224,0.030582972,-0.119783446,0.036833912,0.00711577,-0.08684116,-0.031409737,0.003213202,0.06724779,-0.047051176,0.02183778,0.06096068,0.048922863,-0.016599191,0.110026024,0.06422499,0.014045487,-0.052729636,-0.021493228,-0.03754424,-0.08122261,-0.06424902,0.031139597,0.059474587,0.0395275,0.14121404,-0.10652024,-0.1250877,-0.0060924455,0.08074282,-0.018621257,0.04072181,0.021467965,0.0066887266,0.057567663,0.03263329,-0.07174601,0.015464483,-0.019820223,0.024270823,0.067184225,-0.056261662,-0.045832824,0.023865871,0.027018033,0.05666207,-0.016960626,-0.027568934,-0.0033792765,-0.13163033,0.045409564,0.07357021,0.06683537,-0.062465608,-0.05289842,-0.083315015,-0.0827364,-0.123144224,-0.021833548,-0.03121539,-0.043452997,0.050943594,0.061434604,0.09425921,0.004587876,0.1363525,0.052732814
AOL,0.038777646,0.012049418,-0.11599181,0.03318719,0.013549419,0.09164689,0.011642301,-0.006259224,-0.035766188,-0.07802353,-0.034347057,0.0680746,0.0033668336,-0.08994467,0.029420678,0.048260804,0.064888224,-0.016552525,0.05719013,-0.036805663,0.07957991,0.031318244,0.00037279425,-0.011913259,0.07275834,-0.12931308,-0.059555333,-0.06423374,0.01828764,0.017479176,-0.06740594,-0.0023874699,-0.0075167962,0.11661188,0.015848465,-0.09692426,-0.009782222,-0.011692748,-0.06498737,3.2213684e-05,0.050311685,0.03754729,-0.0840052,0.021479262,0.040795736,0.05669267,-0.07748196,0.077389084,0.007656617,0.043607313,0.0013067746,0.017419452,0.025050264,-0.10439326,-0.07223308,0.081230484,0.03338686,0.06302843,0.07661973,-0.11206065,-0.092861496,0.07633417,0.08668448,-0.038634922,0.058804885,0.017802048,0.00453874,0.02856398,0.04125015,-0.08861761,-0.028537352,-0.034955323,0.081869215,0.085725136,-0.024046732,-0.017145848,-0.003226311,0.08337317,0.0934554,-0.09983041,-0.07325338,-0.017830888,-0.13714477,0.064726196,0.025486974,0.03152917,-0.049568612,-0.104932934,-0.003755324,-0.054463796,-0.039969325,-0.04816485,-0.032344528,0.0017584125,0.0017748174,0.095916286,0.100914985,-0.018057145,0.05040955,0.06340162
A_Calculus_of_Angels,0.08661093,0.06247807,-0.13191158,0.10909247,-0.0062432196,0.06578859,0.028694093,-0.005406367,-0.020518273,-0.107541844,-0.039849557,0.0567995,0.047731232,-0.110504836,0.021161024,0.08034868,0.050160002,0.08852318,0.03307596,0.06759571,0.11832344,0.11037435,0.022477014,-0.0037551904,-0.0019673905,-0.12963024,-0.045943603,-0.03803884,0.055169497,-0.007613003,-0.045303814,-0.089690715,-0.0064187516,0.10536932,0.050722525,-0.047326997,0.0470434,-0.06124618,-0.08334831,-0.0180078,0.046572786,0.13587946,-0.0434984,0.09130476,0.09251043,0.07129298,-0.042244267,0.027692867,0.08589561,0.082856834,-0.10489258,-0.08078929,-0.009495386,0.009385701,-0.022684352,0.09448116,0.07672365,0.049610466,0.12413507,-0.12361544,-0.11613858,0.025822373,0.098681465,-0.03898785,0.038287442,-0.059530057,0.011538886,0.100094184,0.020734258,-0.06424143,0.06643231,-0.03477082,0.09472634,0.059805907,-0.11906928,-0.065083414,0.07470707,-0.020426676,0.07548373,-0.10036871,-0.054145712,-0.12258602,-0.07576087,0.07998447,0.09407573,0.035623033,-0.08617709,-0.03351042,-0.08507268,-0.059678487,-0.11070326,-0.085280806,-0.018539902,-0.12700643,0.06313645,0.095239654,0.07017064,-0.022749305,0.09332765,0.05198045
