,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
author,0.14475212,-0.1811899,-0.02018799,0.17821065,-0.15955347,0.13124944,-0.19468236,-0.0562993,0.23014301,0.17589307,-0.19178662,0.068850234,0.44244137,-0.122312255,-0.17670639,0.34277892,-0.17038058,-0.004844804,-0.0031330641,-0.039173532,-0.16658086,-0.13180077,0.11033925,0.32805836,0.27407295,0.085214615,0.38191435,0.32077286,-0.2207346,-0.24557543,-0.08764255,-0.22596778,-0.058864,-0.024303505,-0.16574113,0.31416205,0.12807806,0.056107216,0.07086751,-0.104200214,-0.19802877,-0.22753415,0.44547036,-0.20720872,-0.09891433,-0.042705424,-0.04748088,-0.022298109,-0.1787195,0.09825549,0.24160777,-0.16196297,0.1388785,-0.16982085,0.20958392,-0.010725599,0.07244363,0.31410632,-0.33036816,0.12861553,0.14424114,0.12611939,-0.017347846,0.09506161,-0.06889841,-0.22747901,0.24545601,-0.109937094,0.16573213,0.1608248,0.23787011,0.22473964,-0.214766,-0.26687962,0.18651825,0.104588136,0.12249,0.06500212,-0.09210951,-0.08970698,-0.24381281,0.19469705,-0.3071468,0.119592704,0.0003467407,0.34653413,-0.09436777,-0.316281,0.030944189,0.22485037,-0.326203,0.15144646,-0.1586043,-0.048480127,0.14806865,0.047694746,-0.020867154,-0.24991731,-0.19880924,-0.25430685
award,0.20266728,0.061115168,0.07147948,0.02438644,-0.16407736,0.09956957,0.34700027,-0.029803067,0.38501808,0.046666127,-0.28428864,-0.12307361,0.007890572,-0.08123854,0.2624184,0.1738343,0.32969216,0.20605871,0.0075631724,0.07317173,-0.015718082,-0.13609944,-0.4591634,-0.25737345,0.25921154,-0.08618302,0.01072072,0.0045456057,-0.29401392,-0.31054723,-0.16775279,0.32491207,-0.1367757,-0.22396904,0.06427157,-0.10159997,-0.039018657,0.19821577,0.21193975,0.016893383,-0.22985719,0.21170072,-0.14874987,-0.1373476,0.21617451,-0.0546311,0.065713964,-0.3146399,0.21006313,0.0870495,0.102392055,0.16133955,-0.19485754,-0.17422701,-0.23022042,-0.0030317504,-0.2322986,0.25383663,-0.16359252,0.029954342,-0.2002184,0.0863073,0.114077106,0.13748354,0.32004744,0.094946995,0.19183569,-0.13621394,-0.2247999,-0.22261783,-0.21167687,0.0440563,-0.159728,-0.03912555,0.24215288,-0.13501008,0.25131917,-0.06525397,-0.027824346,-0.14870231,0.030640906,0.21176866,0.12652515,-0.051362477,-0.18697524,0.1807447,0.1455786,0.12909986,-0.37743014,-0.03137367,-0.033673313,0.04813814,0.11673961,0.07171857,-0.5105428,-0.27252373,0.1606502,-0.1810922,0.30686504,-0.02278069
birthPlace,0.0718599,-0.22599284,0.27857614,0.089239895,-0.008565479,0.41122073,0.063848786,-0.036832068,-0.0954386,0.0969559,0.23397405,0.075733006,0.5664576,0.25095463,0.1823121,-0.122772,-0.16432177,-0.04986852,-0.26232025,-0.21340962,0.14931688,0.06045704,-0.46271265,0.07458837,0.09382157,-0.20052576,-0.11228702,0.102006726,0.084365375,-0.26669544,0.13890256,0.045679655,0.2537862,0.09126817,-0.18184899,0.24184301,0.23884127,-0.23314531,0.2642293,0.025766177,-0.0389008,-0.045015622,0.029348962,-0.13104652,0.13295959,-0.01724828,-0.034423158,-0.25262466,0.09527303,-0.1508133,-0.018295616,-0.18215331,0.13422163,0.32900998,0.045156967,0.16878492,0.14590983,0.18009494,-0.084884696,-0.15744989,-0.016493505,0.10272113,-0.18434744,0.032269534,-0.2983522,-0.18127306,-0.021989971,-0.15299994,-0.03994869,0.12655288,-0.10597658,-0.25913718,-0.03265873,-0.09190809,0.0752097,0.029774467,0.081427224,-0.118209,-0.025814155,-0.3355216,-0.24953741,-0.20679727,0.22948565,0.08515834,-0.054113485,0.29059392,0.16338244,-0.10740732,0.03686252,-0.23074527,-0.3265811,0.08054647,-0.11299206,-0.07759225,0.2105381,0.0024510862,0.08429501,-0.10888155,0.38098392,0.009555614
deathPlace,-0.13908462,0.08286285,-0.027442168,0.22153412,0.10852875,0.053631548,-0.37742746,-0.047202155,0.33153576,0.0018006453,0.028682847,0.2180053,-0.08914954,0.36212778,0.059058737,-0.048390478,-0.19854917,-0.26708013,-0.024976071,-0.17312542,-0.16996644,0.15867421,-0.24693705,-0.029021056,0.011328808,0.15364996,-0.20039392,0.10098537,0.3750528,-0.1753934,-0.05870612,-0.3181996,0.113515094,0.022019109,0.15246846,0.32956374,-0.054990888,0.17124115,0.18896711,0.14584954,0.19034232,0.19933668,0.25011966,0.18431376,0.011082672,0.278627,-0.069017634,-0.27980688,-0.033102155,-0.21333455,0.10649618,-0.37275928,0.136984,0.28801414,0.2887157,0.18815243,-0.17115901,0.31972006,0.062117144,-0.20068981,-0.11130897,0.12401224,-0.5168599,0.008348372,0.1382451,0.39243352,0.027461397,0.051375363,0.23197779,-0.104180254,-0.0913007,0.12954709,0.057001196,-0.2569017,-0.09651513,0.04967245,-0.04376152,0.0639626,-0.25604317,-0.1901443,0.06334846,-0.04457127,0.15945137,0.19247687,-0.17752646,0.045831572,0.09761777,-0.08556935,-0.289736,0.06307584,0.18113545,-0.03685162,0.061832055,-0.14830223,0.15088895,-0.11156187,-0.19370611,-0.01044562,-0.17940919,-0.034702882
foundationPlace,0.12091413,0.0848083,-0.0032585457,-0.2603989,0.22949119,0.109350346,-0.02053954,-0.0063143377,0.2048702,0.13647066,0.3570163,0.038383488,0.5273721,0.3086055,-0.2240179,0.32389417,-0.013096799,-0.05288899,-0.14890543,-0.20883916,-0.17921,-0.104657434,0.22460005,-0.33610108,-0.16056453,0.27801248,-0.16010673,0.229228,0.14171605,0.06040617,0.074586034,0.31367543,0.047115117,0.06443697,-0.22217348,-0.16069345,0.05238322,0.05972627,0.14507714,-0.17678335,-0.25309077,0.037495926,-0.012881635,0.0055658408,-0.27623382,-0.005152219,0.21828571,-0.1446555,-0.17306201,0.20329975,-0.09624173,0.22450398,0.068289965,0.16652627,-0.06292325,0.22991163,-0.06739,-0.007243025,0.11764925,0.40003437,0.0014970413,-0.301078,-0.033321783,-0.06853775,0.050400913,0.3074677,-0.049371544,0.15015455,-0.15887293,-0.014213319,0.09588226,-0.22689092,-0.21983677,-0.076725416,0.06854584,0.13624144,-0.036482457,-0.126961,-0.23941003,-0.28151572,0.02828072,0.026423244,-0.06296931,-0.29094413,0.05151511,0.0072537553,-0.26057953,0.21113344,0.18093407,-0.18311115,-0.16652885,0.32268384,-0.022124985,0.30874443,-0.32605258,-0.18393336,0.10155384,0.41134304,-0.09574812,0.2290459
office,0.044906963,0.049597133,0.17898096,-0.2915805,-0.09316096,0.39395759,-0.00057338225,0.15058053,-0.09615852,-0.077056736,-0.26208338,-0.17175214,0.29420206,-0.17156522,0.36272806,-0.12626408,0.4232597,0.18042462,-0.051462457,0.26388335,0.08030437,-0.16409458,-0.04082528,0.20625518,-0.0014285919,-0.15051569,-0.12485484,0.1112226,-0.18319206,0.44185734,0.16366963,-0.07146507,-0.17490137,0.3380832,-0.1576998,-0.09107324,-0.080667965,0.4997817,-0.034209512,0.03643965,-0.18503904,0.15951172,0.30187744,-0.0666555,-0.33652654,0.10401228,0.11279999,-0.25657293,-0.17402491,0.1780293,-0.04834868,-0.085250154,0.21149027,0.1255767,-0.28624946,-0.16586518,-0.26867002,0.09445274,-0.25818536,-0.10591029,0.010063249,-0.21533222,0.023605984,0.18421021,-0.04063356,0.032729667,0.24382344,0.049999364,-0.23926459,0.030406639,-0.039047174,0.143316,0.09555785,-0.23338921,-0.3217851,0.008909648,-0.1217621,0.13170312,-0.026248481,0.106455006,0.15819886,-0.22123188,0.17800772,0.1966025,-0.0302419,-0.15489282,0.18156637,-0.019000936,-0.027017972,-0.16509578,-0.35925534,0.29530644,0.13710934,-0.3024957,0.12854305,-0.2134971,-0.13307853,0.20580001,-0.11367812,0.06612508
spouse,-0.12682238,-0.034785908,0.30385128,0.0012133095,-0.15292762,0.0006961333,-0.13239446,0.22223699,-0.05690678,0.36619052,-0.20918511,-0.26752818,0.0031272045,0.06459504,0.03602764,-0.09712313,0.08774533,-0.033974867,0.023291638,-0.29316652,0.15107489,-0.103856385,-0.08285084,-0.41890672,-0.104676545,0.3619154,0.28325072,0.0068582147,-0.05940669,0.23357451,0.18206164,-0.17234455,-0.018558418,0.047674015,0.38680536,-0.25565118,-0.076491185,0.14052846,0.19541372,-0.16622074,-0.17328402,-0.17683215,-0.0060764044,-0.094635986,0.1283882,0.258223,0.0028425583,0.0599165,0.20530728,-0.009901762,0.074034974,-0.2502282,-0.3831349,-0.06903859,0.11257961,-0.11416183,0.2515,0.048156124,-0.013018201,0.041441176,0.12893172,0.033715,0.012838851,-0.05641893,0.20666009,-0.15274592,0.17402887,-0.13817425,-0.08367416,0.1753525,0.15052168,0.17908259,0.087616585,-0.06894441,-0.2579772,-0.05863985,-0.05714013,-0.06424099,-0.006743712,0.06850837,-0.021134665,0.15720895,0.3066914,0.18386109,0.024740567,0.034668617,0.09464593,-0.3674446,0.07182744,0.13076252,-0.2773721,0.0795956,-0.2426634,-0.029414069,-0.36967242,-0.049521457,-0.28298107,0.038039792,-0.11325219,0.26283452
starring,-0.0048968093,0.2842101,0.21458374,-0.24395221,-0.18276004,-0.012367746,-0.037302185,0.19610687,-0.14634557,-0.24843305,-0.21148936,-0.16514459,0.44540918,0.21390954,-0.19074063,-0.02911909,-0.34604928,0.18235554,-0.09040329,-0.004545434,0.0077086585,0.17378259,-0.32078952,0.037599858,-0.110520445,0.013323664,0.22666605,0.18621512,0.028292932,-0.17529397,-0.23007461,0.26512352,-0.1830664,0.04411192,0.14907216,-0.18085903,0.22661743,-0.35626364,0.1883863,0.30404842,0.2937868,0.08347139,0.064813145,0.2506049,-0.15093747,-0.035604022,-0.0778662,0.15141262,0.2337093,0.1337286,0.15988028,-0.1888583,-0.50648993,-0.06423805,0.17672987,-0.07411801,0.31195122,0.086227946,0.22903293,0.10173595,0.013603201,0.13767114,-0.5379271,0.24147886,-0.11234064,-0.04672148,0.0534251,0.19436218,0.23555528,0.01945206,-0.22748992,-0.24623895,-0.26949376,-0.17854662,0.053535845,-0.14887716,-0.11620076,-0.11051871,0.19393182,-0.020549541,-0.11267979,-0.08017625,-0.013994053,-0.2907278,-0.093668796,-0.02893475,-0.22802328,-0.15957722,0.24705483,0.062275615,0.2199395,0.19778241,-0.09300782,-0.14039221,0.114866965,-0.22812496,0.123137355,0.1909367,-0.2515222,-0.12639093
subsidiary,0.12722275,0.025740698,-0.02827035,-0.05384554,0.18793549,0.22578695,-0.24720462,-0.03424696,-0.110778846,-0.1669049,-0.22785202,0.1421969,-0.026228962,-0.11346093,0.23976539,0.3330868,0.15108359,-0.011315193,-0.21717902,-0.31098843,0.23388523,0.102327146,0.25376758,0.15888678,0.109922856,-0.12931418,-0.06689235,0.009211272,0.44767606,0.2551849,0.0633575,-0.005685372,-0.16520558,0.0071612434,0.3409052,-0.14658499,0.2966325,0.02005733,0.00509202,-0.1645391,-0.19441898,-0.11355718,0.35113594,0.31678218,0.26811656,0.0029700785,-0.093273446,-0.10676028,-0.1573801,-0.19084807,0.25916013,0.09410963,-0.15673277,0.0044519734,0.06866718,-0.16595566,0.098866366,0.13988906,-0.036901753,-0.06376847,-0.14536819,0.101097316,0.17206483,-0.08479177,0.14563054,0.45699808,-0.011763407,0.3262762,-0.05658094,-0.076367915,-0.0172641,-0.15173407,0.044051975,-0.206846,0.15463246,0.041379467,0.26653036,-0.025687663,0.09858832,0.11007972,-0.3799611,-0.06874031,-0.2991183,-0.21768174,0.155918,-0.25395986,-0.060668103,0.2715175,-0.15689471,-0.1947639,0.10043237,0.024875848,-0.14713532,0.035385877,0.24533023,-0.033651717,0.117930144,0.048731074,-0.057959408,0.017780595
team,-0.09665504,-0.15896237,0.02194713,-0.12783362,-0.11218978,0.3999099,0.27308497,-0.02722942,-0.12629037,0.3091442,-0.17086151,-0.04523865,-0.1606032,0.007158856,0.05006912,-0.013144515,0.33408627,-0.19512327,-0.21817023,0.23747472,0.086047985,-0.1790839,0.088579215,0.19136134,-0.028495295,0.22543025,0.0024723818,0.113671914,0.2631649,-0.22947022,-0.19806649,0.16204025,0.24468139,-0.10916345,0.17117633,0.097176164,-0.013695208,-0.081946395,0.027673192,0.22952358,0.14855692,0.11126548,-0.042743064,-0.1139001,-0.3623744,0.046703715,-0.01086821,0.24847783,-0.14887165,-0.19252996,0.14983016,0.13179483,0.03584974,0.0019010184,0.09814602,0.16986258,0.17039907,-0.058102112,-0.3044631,0.38629353,0.30155528,-0.27666852,-0.39064896,0.07461959,0.30696693,0.48793364,-0.0902474,-0.08481493,0.024275478,-0.20116517,-0.0051957374,-0.30442345,-0.2176697,-0.074649364,0.051753778,-0.16511327,0.3826917,-0.1721522,-0.19666274,0.095942706,-0.28251696,0.17189531,0.10123245,0.22026488,0.0660243,-0.35084972,0.087299034,-0.1531167,-0.09813394,-0.118566856,-0.2561998,-0.19713725,0.047210827,-0.26661894,-0.15725563,0.16981284,-0.30417532,-0.06611258,-0.077602744,-0.14383662
