,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1634:_The_Ram_Rebellion,0.0013800982,0.095090665,0.053460676,-0.027677381,0.052294683,-0.07715254,0.013298188,-0.09442588,0.055575494,0.09002835,0.08870722,-0.08142909,0.12570791,0.03479964,0.10932377,-0.06644526,-0.031329423,0.060037214,-0.026766531,0.06814621,0.014339345,-0.09283634,-0.113809854,0.11942294,-0.026649825,-0.06853574,0.14337532,0.074349105,-0.08120577,0.050896447,0.006461189,-0.06921045,-0.017926296,-0.07624154,0.06463315,-0.12828158,0.08863736,-0.112295784,-0.11565622,0.12176877,0.05355349,-0.012141066,-0.03682045,0.036504086,-0.08963504,-0.12018266,-0.012238107,-0.12528123,-0.10212196,-0.12610532,-0.036739126,0.096147574,0.09880433,-0.099959455,-0.028255245,0.04752676,-0.038122486,0.044887718,-0.090740025,0.08916393,0.09505221,-0.14980294,0.08503857,0.04067652,-0.051084515,-0.08038319,-0.020922203,0.11530391,-0.09547679,-0.08734942,-0.059099574,-0.08303863,0.048424847,-0.093586855,0.022251857,-0.1747815,0.061799295,-0.07172767,0.10501021,0.12775876,0.02077002,0.08620499,-0.08107822,0.10329195,0.0722383,0.12368511,0.01816414,-0.1501582,-0.032325987,0.110876605,0.085669376,-0.040844895,-0.07708169,-0.12284922,0.1376732,0.022569306,0.056916494,-0.024672028,-0.1253443,0.10596823
1635:_The_Cannon_Law,0.054352503,0.07756487,-0.019194916,0.030863851,0.129612,-0.018252252,0.08232124,-0.014405789,0.114411145,0.11450421,-0.046246592,-0.116541535,0.08616808,0.11385834,0.008825157,0.039094698,-0.10083297,0.010761118,-0.023640685,0.086595625,0.08756694,-0.14229278,-0.10555062,-0.020888634,0.124275446,-0.09180889,0.098148875,0.105704606,-0.10424091,0.010724409,0.12321966,-0.10179487,-0.10139358,0.0053921617,0.07965064,0.025925364,-0.05265318,-0.05788017,-0.08247292,0.0131094465,0.022704499,-0.08601266,0.0024243835,0.05647363,-0.037093572,-0.07583722,0.0060568843,-0.094808504,-0.12649527,-0.17520264,-0.04725664,0.05933216,-0.0006920018,0.037940055,-0.07025385,0.014179488,-0.072259896,0.006957791,-0.07016245,0.088413686,0.013668798,-0.07727818,0.034963664,0.07334329,-0.06717082,-0.09438858,-0.08231739,-0.014353253,0.002612852,-0.06724002,0.023020359,-0.10190257,0.007614669,0.0084356675,0.07751228,-0.06259586,0.096670434,-0.06018233,0.110173024,0.1304423,0.106000364,0.045950152,-0.17515695,0.006713828,0.042936645,0.040013567,0.102981284,-0.06817566,0.008420653,0.043746904,0.015362984,-0.21106645,-0.100581266,-0.120359816,0.12362089,0.043672126,0.022407813,-0.04348557,-0.09669127,0.053652264
2012_(film),0.023327552,0.038861714,0.02592584,0.06329781,0.018793836,-0.013425596,0.12581773,-0.0342027,0.06338318,0.0061029396,0.020645099,-0.022534387,0.09673386,0.095239714,0.060645927,-0.002506023,-0.0008403041,-0.016582973,-0.11928055,0.021468144,0.030534906,-0.014108172,-0.012615824,0.06980884,0.03877511,0.0121581005,0.05860966,0.02885667,-0.058449935,0.014161666,0.017480507,-0.012642289,0.032095812,-0.03992785,0.06890405,-0.05040182,0.0019276298,-0.013322416,-0.011869208,0.09298829,0.08903899,0.006353766,-0.017538084,-8.415744e-06,-0.05599056,-0.08597708,0.022963792,-0.08047008,-0.009195261,-0.07809944,-0.03271315,0.014324502,0.07504153,-0.009725625,-0.039460905,0.09806222,-0.040991385,0.0181943,-0.08738008,0.08788707,0.025687544,-0.052195396,0.05773264,0.05421787,-0.09722533,-0.061935134,-0.052525017,0.106217586,-0.02320844,-0.08028463,0.05990117,-0.06796204,-0.0026617001,-0.03230298,0.078542896,-0.049490064,-0.01224807,0.013326978,0.024980225,0.021581147,0.055669595,0.014006605,-0.07387852,0.044328045,0.040601596,-0.039289072,0.080823936,-0.076916575,0.022406489,0.021339733,-0.0062185284,-0.04834113,-0.053148754,-0.03849249,0.021291457,0.028298447,-0.037311397,-0.015835403,-0.09067932,0.07886382
334,-0.033340733,0.09284584,0.15932362,0.07120659,0.0780483,-0.0012139659,0.11414026,-0.081766255,0.02306257,0.119231746,0.0070952857,-0.12901299,-0.0016013079,0.085491985,0.017509893,0.037913654,-0.105337866,0.023480088,-0.083088264,0.019776992,0.09437134,-0.092537805,-0.014902007,0.017923279,0.0022303332,-0.055188198,0.012503682,0.070317395,0.0005302711,0.12782851,0.14824182,-0.08322364,-0.012251514,-0.040958703,-0.010657655,-0.11096926,-0.04754424,-0.117386185,-0.12891372,0.08735151,0.10250351,-0.1214428,-0.019385898,0.09840699,-0.03261949,-0.1852801,0.11674265,-0.005928017,-0.08556006,-0.06346463,0.02805582,0.045113046,0.18842301,-0.13995935,-0.09806398,-0.026218403,-0.17518382,0.15932795,-0.0807954,0.0631253,-0.013150093,-0.040205304,0.04555749,0.08754887,-0.008902354,-0.027667752,-0.100008175,0.03930009,-0.123341195,0.0013103076,-0.012825901,-0.13167441,0.01906584,-0.015114634,0.061743133,-0.15234269,0.07904102,-0.058324534,0.004800923,0.13108718,0.0880146,0.11165828,0.046036817,0.06717902,0.00012780508,0.14906988,0.10546282,-0.039335284,-0.0063414914,-0.011590329,0.055981584,0.00011673386,-0.01792579,-0.048014432,0.094832405,0.070192985,0.00925544,0.040320743,0.033072677,0.098099515
360Commerce,0.043318536,0.1277412,0.021203268,0.1519107,-0.060064524,-0.015448888,0.081877455,-0.17417999,0.0709527,0.06381436,0.019539993,-0.07474,0.013753929,0.10470568,0.097991906,0.036506634,-0.11261575,0.06603542,-0.13925463,0.06904965,0.05192066,-0.08973371,-0.101603776,0.08466391,0.101300344,-0.06534074,0.11763914,0.029369794,-0.06690183,-0.05971447,0.07745033,0.003387648,0.02736989,-0.11046438,0.0701654,-0.08766172,0.082926385,-0.05450631,-0.04774214,0.086692855,0.07940553,-0.04259239,-0.025435172,0.0138398325,0.05301301,-0.060904697,0.12363851,-0.09062705,-0.11289178,-0.066387035,-0.15905504,0.075978,0.005132375,-0.045360483,-0.022158131,0.07555455,-0.075927526,-0.009909327,-0.080100745,0.13199398,0.06081931,-0.041844014,0.1462004,0.030583523,-0.09761981,0.005643133,-0.1301934,0.10187323,-0.08583664,0.017723553,-0.000948541,-0.12514113,-0.05394655,-0.033562638,0.0871273,-0.10828341,0.02413103,-0.0857814,0.0007688941,0.0382049,0.029396482,0.039539788,-0.0037581325,0.11134839,0.085603304,0.08939817,-0.0005165591,-0.041404273,0.05496888,0.10767017,0.08118917,-0.09980702,-0.1247997,-0.09044763,0.052581847,0.14899114,0.101067536,0.05889033,-0.116542354,0.07384185
A._E._van_Vogt,0.038217433,0.04250257,0.070794486,0.053709578,-0.029546175,-0.08901855,0.105259426,-0.0089749945,0.07380009,0.018861407,-0.0053750826,-0.04847832,0.055776928,0.0690849,0.035558216,0.0228043,-0.07190823,0.08832013,-0.054640915,0.05687723,-0.012737192,-0.08331121,-0.0636855,0.056726813,0.030705012,0.007608582,0.03049223,0.051820222,-0.097020276,-0.013287585,0.0916681,-0.008633107,0.0041831485,-0.009546162,0.09544242,-0.045019332,-0.026834924,-0.07476961,-0.13730825,0.07569582,0.066971265,-0.04816974,-0.049816817,-0.01868125,-0.021309482,-0.051284265,0.092836544,-0.07287183,-0.11470717,-0.104967035,-0.053950008,0.06387203,0.02807889,-0.042429402,-0.075140715,-0.0077592707,-0.018651094,0.0450998,-0.013737833,0.0862855,0.0878193,-0.046213433,-0.020551031,0.012273479,-0.09914559,-0.055327132,-0.09867231,-0.006015819,-0.014102416,-0.073701024,-0.041173678,0.02122471,-0.00054150773,-0.03844734,0.102998935,-0.012995679,0.013839978,0.003288105,0.061658066,0.07012358,0.024149869,0.09885972,-0.005406915,0.031933576,0.091826454,0.08562179,0.054148875,-0.0026846942,0.04011074,0.034109946,0.044395093,-0.03889354,-0.06962418,-0.03763265,0.037691724,-0.015518472,0.023899263,-0.04888375,-0.09248933,0.042210862
ABC_Family_Worldwide_Inc.,0.056276478,0.08766702,0.054233294,0.05534335,-0.055469,-0.06943303,0.059250657,-0.06648101,0.07403048,0.024169309,-0.04537765,-0.010621008,0.069636226,0.1008641,0.13207492,0.01691829,-0.08204767,0.10128888,0.0032094982,0.055550806,0.105482005,-0.090738475,-0.10432289,0.011302265,0.09311727,-0.024765294,0.03273954,0.09094587,-0.05605929,0.040424343,0.009964169,-0.079302914,-0.056482926,-0.038389172,0.04313076,-0.03289587,-0.006770071,-0.037921403,-0.13117346,0.069546446,0.052131712,0.0016900833,0.018977204,0.06284896,0.0137196,-0.06696335,0.043313522,-0.046035107,-0.11510437,-0.07151442,-0.073401935,0.008707404,0.060731243,-0.061152633,-0.048973273,0.08648167,-0.050710615,-0.004166742,-0.00036344593,0.09136891,0.037249476,-0.03465423,0.05644054,0.008720717,-0.016139643,-0.07971855,-0.09532429,0.039000165,-0.019867696,-0.01812347,-0.016714016,-0.083872914,0.04805164,-0.040905807,0.038890377,-0.11689194,0.024401931,-0.0048838756,0.029110761,0.09256369,0.051366456,0.103268586,-0.0010183481,0.038018215,0.018349824,0.096058115,0.06878782,0.013873126,-0.011924827,0.03838276,0.015011594,-0.031824507,-0.056359023,-0.049771883,0.03549742,-0.030298281,0.045176003,-0.053134285,-0.054538757,0.048169162
ADC_Telecommunications,0.04000992,0.047262523,0.07955979,0.086850196,-0.028938293,-0.07121042,0.094291255,-0.08549398,0.049673557,0.017657617,0.043903578,-0.040650073,0.033269204,0.09812866,0.029070627,0.028509477,-0.06806376,0.098731205,-0.07325958,0.055950265,0.1030192,-0.09617967,-0.060116872,0.06879481,-0.012493069,0.011740253,0.02884492,0.086994685,-0.06960877,0.0009241019,0.109668285,-0.00059832085,0.015492896,-0.106473505,0.08385017,-0.06689451,0.005180141,0.018573599,-0.1175375,0.06516842,0.07826678,0.017125133,0.01595962,0.0061263167,-0.02092452,-0.060289744,0.073635474,-0.05524071,-0.052673515,-0.09999616,-0.06338305,0.055797406,-0.0100311395,-0.039497957,-0.033053193,0.09086177,-0.08659291,0.015119206,-0.009058195,0.09530876,0.08740642,-0.040240634,0.08274325,0.035895884,-0.05163611,-0.09417552,-0.051396865,0.06378276,-0.012160996,-0.03761874,-0.022477444,-0.07003165,0.048805423,-0.03230237,0.08970598,-0.06673132,0.019211302,0.0048785964,0.045269504,0.1116339,0.060762152,0.058295555,-0.007223522,0.066538505,-0.0077287527,0.07293374,0.04779809,-0.048838954,-0.068976514,0.035197128,-0.008645647,-0.03578134,-0.076997384,-0.051050328,0.03338892,-0.009383049,-0.06882764,-0.035179455,-0.09815382,0.040827118
AOL,0.03889067,0.049331337,0.07123947,0.09598182,-0.04825588,-0.041497994,0.031757,-0.06953678,0.011826571,0.017601313,0.076217,-0.027481457,0.07323764,0.042124208,0.13927509,0.005768952,-0.11338109,0.08099152,-0.13099371,0.061094824,0.0430951,-0.050197586,-0.02752006,0.06688817,-0.014489338,0.007962738,0.040944062,0.072851405,-0.042054165,0.06529582,0.048441533,-0.050634418,0.014181441,-0.060945123,0.107876055,-0.03633258,-0.021518774,-0.006117214,-0.040861975,0.09666075,0.05710056,-0.007837494,0.030851232,-0.003036998,-0.0046948553,-0.08130367,0.08271897,-0.039712697,-0.04257782,-0.09853184,-0.018828442,-0.008019446,0.09229822,-0.030312186,-0.048676513,0.0906644,-0.033855963,0.018151466,-0.10100266,0.02378472,0.02190027,-0.023069488,0.073737614,0.000759089,0.024361204,-0.079316124,-0.09298356,0.06585881,-0.04932068,0.03462666,-0.056695458,-0.013536077,0.0365576,-0.05962988,0.09088217,-0.08586043,-0.045572367,-0.00017602404,0.062280815,0.022159208,0.018073114,0.019976584,-0.020063369,0.03716229,-0.022847876,0.02460548,0.051321223,-0.027634135,-0.028318454,0.07171089,0.037847806,-0.04529432,-0.05168325,-0.067876704,0.037114657,-0.030974437,0.036749825,-0.029028494,0.0038943547,0.007054569
A_Calculus_of_Angels,0.12756291,0.14296393,0.07885588,0.03173026,0.11827554,-0.013537595,0.11180112,-0.058930557,0.06002424,0.1319521,0.025123164,-0.07630572,0.1549511,0.036004502,-0.013819508,-0.06459939,-0.11275247,0.07657404,-0.10262296,0.115859784,0.04515232,-0.10218043,-0.027226148,-0.045494486,0.050488144,-0.11634983,0.009049625,0.04114846,-0.10995313,0.09911856,0.05790377,-0.049496178,-0.019585365,0.024679333,0.12291012,-0.06453568,-0.097773865,-0.10614415,-0.0696542,-0.022695232,0.10445382,-0.12968126,-0.013069316,0.055541936,-0.013930908,-0.071606584,0.16918185,-0.1233544,-0.078173675,-0.14618482,-0.08948069,0.058354735,0.12337653,0.017905977,-0.12990025,-0.0015473652,-0.11166311,0.029399518,-0.1346585,0.06789527,0.015481587,-0.13855608,0.088787146,0.014081538,-0.0079026325,-0.073940046,-0.041100282,0.11874545,-0.15503544,-0.04954155,-0.06626288,-0.01714588,0.027684068,0.01817948,0.0021726652,-0.05187326,0.0051937466,-0.059465807,0.12371934,0.08345234,0.08645762,0.056021784,-0.1774867,0.050205898,0.07328173,0.0051784758,0.12659512,-0.05977382,0.02125171,-0.033614498,0.09713259,0.04197908,-0.0054349815,-0.13312589,0.073473774,-0.045023896,-0.047289334,-0.14438803,-0.04179762,0.1092341
