,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1634:_The_Ram_Rebellion,-0.15558715,-0.14736624,0.12713774,0.10516732,-0.14937483,-0.17721839,-0.17450811,-0.19446152,0.16534024,0.1693678,0.09187607,0.17318077,-0.14852922,-0.14947674,0.121984735,-0.15392454,0.17805849,-0.12564377,-0.16445781,-0.16053623,-0.15342261,0.1326973,-0.17434822,-0.16137034,-0.19176826,-0.17710833,0.16372523,-0.141699,-0.17257288,0.09527276,0.10633862,-0.15866698,0.18277378,0.117845625,0.15387255,0.16672046,0.16055852,0.086408645,0.10999515,0.15932015,-0.17275745,0.14827992,-0.1325216,-0.19998094,0.1495807,-0.15220238,0.19198038,-0.15301621,-0.15981857,-0.18803622
1635:_The_Cannon_Law,-0.18333693,-0.13634469,0.19041125,0.17192352,-0.2243479,-0.1799605,-0.10029237,-0.095923565,0.1407732,0.16395278,0.12895724,0.090198025,-0.112183556,-0.108961016,0.08694224,-0.15227431,0.17359918,-0.14138676,-0.1448904,-0.133341,-0.1486158,0.12298258,-0.15305413,-0.1349669,-0.17321184,-0.18720862,0.12985766,-0.21444009,-0.13432077,0.18372999,0.09155987,-0.12283125,0.08415725,0.16106181,0.16077681,0.1868043,0.13922662,0.16091277,0.14409389,0.14092547,-0.106663845,0.19294985,-0.15285197,-0.120114274,0.13258776,-0.1366711,0.107073784,-0.13042694,-0.13292399,-0.19349444
2012_(film),-0.035870794,-0.06796092,0.03126824,0.049502525,-0.02663778,-0.10711903,-0.058324534,-0.089513384,0.0943828,0.10131868,0.097560294,0.07016943,-0.09502448,-0.11068737,0.085325286,-0.07839084,0.029528989,-0.08686092,-0.036363523,-0.119814016,-0.04595432,0.0021093064,-0.07249631,-0.06979147,-0.06444187,-0.10672768,0.09232064,-0.073926225,-0.1196927,0.037536435,0.09029613,-0.08675708,0.080068305,0.03863907,0.099797405,0.03583238,0.045353044,0.025208198,0.05870353,0.046864767,-0.05492033,0.059253816,-0.03993549,-0.035037816,0.06637977,-0.15538017,0.13008115,-0.030929187,-0.09704466,-0.02722021
334,-0.14263323,-0.15388177,0.16654368,0.13188939,-0.14482574,-0.11640466,-0.046663735,-0.14899258,0.045773216,0.09209382,0.15370025,0.12017663,-0.086372085,-0.14593792,0.16453686,-0.10313191,0.13243882,-0.15048651,-0.1417738,-0.21743394,-0.13359585,0.039856847,0.0068185707,-0.10698601,-0.15939392,-0.15057155,0.106709,-0.18059772,-0.11732119,0.102207035,0.18995012,-0.18564586,0.1395944,0.12219255,0.12923744,0.12671229,0.07325161,0.180354,0.14503853,0.12934132,-0.13931522,0.061278466,-0.14543442,-0.12541342,0.1292462,-0.10525289,0.13098921,-0.16777836,-0.12128668,-0.14254504
360Commerce,-0.088590644,-0.11954446,0.12145042,0.19092993,-0.13978016,-0.17686825,-0.14475204,-0.19861355,0.15124854,0.15870646,0.13297446,0.09752988,-0.16199876,-0.17773978,0.14968559,-0.1318181,0.14382623,-0.16741234,-0.15369266,-0.15559164,-0.13639103,0.10264708,-0.10077058,-0.12524253,-0.124352545,-0.15004495,0.13312319,-0.09852481,-0.17040464,0.10689119,0.04117234,-0.19084767,0.19157967,0.14765377,0.12699705,0.14333461,0.1660366,0.14413,0.14313108,0.1893496,-0.16792905,0.15371442,-0.16797383,-0.16954139,0.15940803,-0.14536372,0.19126594,-0.15536323,-0.0646932,-0.09024547
A._E._van_Vogt,-0.14234006,-0.039398514,0.12444499,0.08970436,-0.08088455,-0.06882198,-0.06555765,-0.066398114,0.13708451,0.036068026,0.108308345,0.06167412,-0.066722415,-0.06683441,0.058188748,0.0035876709,0.11780031,-0.08032285,-0.14796178,-0.03749355,-0.11489562,0.07257857,-0.12291532,-0.06467788,-0.036020655,-0.0501674,-0.011525568,-0.11032019,-0.040378585,0.08099666,0.0962199,-0.09651642,0.013181327,0.05690397,0.047138564,0.14521359,0.053876232,0.1368335,0.07427897,0.15683143,-0.04301688,0.104946725,-0.051336538,-0.045955364,0.03192723,-0.06857352,0.13079183,-0.14873567,-0.035314348,-0.13931775
ABC_Family_Worldwide_Inc.,-0.09610584,-0.12128608,0.05709502,0.115396716,-0.028276924,-0.06353717,-0.064968556,-0.12311703,0.074029915,0.061925795,0.12079122,0.04971559,-0.08513408,-0.1362807,0.098019734,-0.052279036,0.06204732,-0.08194988,-0.05802612,-0.07673531,-0.018030366,0.06780817,-0.11889792,-0.108100444,-0.04432465,-0.078592755,0.07669132,-0.14015971,-0.04236821,0.041930728,-0.008702103,-0.08760923,0.107241504,0.16140877,0.12877007,0.024776056,0.051914144,0.06779388,0.0863905,0.044844072,-0.052675825,0.061563548,-0.13891125,-0.12472642,0.06450729,-0.119660385,0.042158764,-0.094713405,-0.06173653,-0.06829723
ADC_Telecommunications,-0.14463781,-0.12264687,0.06358446,0.12290045,-0.08235456,-0.0924274,-0.040319737,-0.061209675,0.12118002,0.049467623,0.11055394,0.007713514,-0.116008,-0.069634296,0.10829882,-0.043933757,0.045403183,-0.055102605,-0.08931733,-0.072734624,-0.07555691,0.053523872,-0.12058474,-0.13203305,-0.024268504,-0.080642655,0.00593245,-0.14137623,-0.029901871,0.015893968,-0.0028348211,-0.08151947,0.043840744,0.14359197,0.11986224,0.062769815,0.14532669,0.081954785,0.12304807,0.07031074,-0.03622468,0.08604376,-0.07823615,-0.08057705,0.0040432853,-0.063327685,0.1201418,-0.10973802,-0.11724893,-0.05633589
AOL,-0.04894099,-0.008059269,0.041057777,0.13460082,-0.0830413,-0.08299787,-0.04815979,-0.12664142,0.086757615,0.08152304,0.05889907,0.030938756,-0.09951145,-0.05140886,0.006033243,-0.1288464,0.027937789,-0.13155529,-0.015383141,-0.12109032,-0.08756276,0.037901983,-0.08821322,-0.065344915,-0.07429897,-0.058474913,0.09463005,-0.114717275,-0.14308178,-0.013809669,0.088743895,-0.10624379,0.07465343,0.15795955,0.081425466,0.04674737,0.08231067,0.044445086,0.038004287,0.05176223,-0.12879276,0.018252265,-0.07078497,-0.07285697,0.017873539,-0.06600079,0.04250215,-0.09788652,-0.09571996,-0.03802364
A_Calculus_of_Angels,-0.1304593,-0.08008705,0.22759742,0.1636057,-0.1496987,-0.12894809,-0.08449954,-0.19279376,0.12671752,0.13738556,0.18005878,0.14707032,-0.07861812,-0.16417567,0.121947125,-0.1783195,0.14191996,-0.16631673,-0.15349036,-0.11835177,-0.16482338,0.10402288,-0.12156582,-0.08888224,-0.19330862,-0.15792294,0.14704967,-0.12838683,-0.08210925,0.11867259,-0.0073316214,-0.19825105,0.114326976,0.10256426,0.13948661,0.17023611,0.061876003,0.16390008,0.12460568,0.11768413,-0.13569172,0.14205024,-0.18967527,-0.05881883,0.15622912,-0.088984475,0.13103944,-0.16467406,-0.118609935,-0.15810642
