,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
author,-0.07108258,-0.25276643,-0.085347,0.026315937,-0.23171936,0.43266875,0.23528205,-0.28276289,-0.12236186,0.36027607,-0.22124721,-0.12538235,-0.065300964,0.01943067,-0.05474001,-0.046451498,0.16294649,-0.08052841,-0.024354652,-0.032084733,0.078571156,0.17745508,0.21474981,-0.05743976,-0.17301537,0.002537266,0.094136514,-0.2861788,-0.109545924,0.22257067,0.08565719,-0.2921785,0.015694238,-0.27400032,-0.005671973,-0.079210855,-0.10611,-0.015635015,-0.12161066,0.21804683,-0.41176268,0.033068832,-0.16917479,-0.09692211,0.09384085,-0.17706981,0.062346604,0.072910324,0.043156102,0.088627085,0.3223327,0.025764834,-0.094473615,0.013236141,0.0024563265,-0.0684903,0.22065213,0.071431935,0.0031387778,0.069490544,0.04390774,0.24278148,0.10916623,-0.1592351,-0.05454053,-0.08853856,-0.03030812,-0.38033694,-0.123014584,0.05798406,-0.18809535,-0.081140734,-0.03951834,0.06726298,-0.11151603,0.16600476,-0.15304497,0.11087964,0.105792485,0.10299095,-0.01015431,0.09032543,-0.08864109,-0.27398023,-0.3473827,0.044594962,-0.17962469,0.008292893,0.067943126,0.09224226,0.1637953,-0.14469719,-0.18313584,-0.061836105,0.25154346,-0.21037343,-0.03113944,0.33926982,0.030735748,-0.23270477,-0.084829725,0.19735111,0.2429013,-0.13117154,-0.07413189,0.20103605,-0.19611335,-0.23871668,0.018664695,0.17424776,-0.17450014,0.16108795,-0.05387391,0.0018838674,-0.062142503,-0.21001773,0.19361687,0.24963582,0.035166483,0.12677206,0.16598646,0.13019307,0.3324159,0.36894372,0.17516293,0.23785464,0.08750267,-0.13993622,0.096749336,0.32578564,-0.37510177,0.16375628,-0.19518253,-0.116705425,-0.06169252,-0.20049542,-0.17670986,0.026787316,0.02033232,-0.11759649,-0.2377195,0.04383307,0.010824819,-0.17172001,-0.23217113,0.09044358,-0.0371625,0.035253722,-0.27596056,-0.2654662,0.051662963,0.21199755,-0.058823436,0.16361475,0.0030153866,-0.036823962,0.1162131,-0.10504508,0.3239352,-0.08139368,0.11684312,-0.16131431,0.035027348,-0.19014761,-0.052840386,-0.083374016,-0.020921629,-0.0030573432,0.01910026,0.085854925,0.021571698,0.0679908,0.11303098,0.15065059,-0.14310975,0.08735431,-0.17368193,0.12133141,0.19165273,0.39719236,-0.10012209,0.064452454,0.14584404,0.21960187,0.08444582,0.20310071,0.0338706,-0.07349573,-0.09676642,-0.08166041,-0.082189895,-0.1440858,-0.15277843,0.0117328325,-0.16607915,-0.028425792,0.30413386,-0.3149919,0.24788918,-0.08677104
award,0.41280344,-0.21868356,0.016252229,0.112996824,0.03211809,0.14062826,-0.101655215,-0.27329394,0.46110523,0.07993101,-0.21525812,0.120993935,-0.19327615,0.12981018,-0.08636675,0.2296599,-0.39524114,-0.045941778,-0.0647382,-0.08643651,-0.30926993,-0.025767053,-0.1786304,-0.2232367,0.16135749,-0.11864272,-0.0082321055,0.3480464,-0.18972284,-0.018382613,-0.14617206,-0.19048832,0.06786261,0.046285916,0.16340144,-0.061588638,-0.112414636,0.09612734,0.069720656,0.14452714,0.00075461034,-0.22392063,-0.22306935,-0.09713663,0.37871554,-0.043554984,0.22892877,0.16927508,0.08369166,0.09845116,0.09610922,0.0974139,-0.08679883,-0.32068244,-0.30967322,0.2369427,-0.15832649,0.09386471,0.13230467,-0.34222105,0.056482553,-0.0806815,-0.12546311,-0.09666866,-0.12218467,0.06104719,-0.11002482,0.24931046,-0.039395817,0.07297287,-0.17439608,0.17296584,0.002899409,0.059361275,0.07272508,0.09091015,0.30112955,0.06964961,0.058975667,-0.03267998,-0.2975728,0.14257273,-0.04370228,0.22656175,0.063771755,0.124801226,0.13744546,-0.0798408,0.05535955,0.20119047,0.07508979,-0.04696959,-0.3128542,0.22887166,-0.025283497,0.034525163,-0.19591449,0.08520612,0.4177575,0.03840389,-0.09977383,-0.106381446,0.24262604,0.012406237,-0.13285567,-0.023891063,0.095644295,0.106608294,0.05657494,0.3045062,-0.266462,0.35786536,-0.035280824,0.15959965,-0.1456778,0.31602886,0.024518548,-0.009334963,0.16732895,0.24299885,0.06258796,0.11722664,-0.20861852,-0.0993298,0.008841266,0.14243123,0.06949762,-0.15536481,0.18818,-0.20102485,-0.1842308,-0.2690732,-0.32737446,0.008649157,-0.18371244,0.18253218,-0.120003805,-0.037754532,0.47987223,0.11464705,0.066567786,0.022951348,-0.030768178,-0.061665993,0.16556984,-0.2225118,-0.11662259,-0.1679725,0.12156388,0.059502535,0.049641035,0.21440092,0.108829536,-0.02021595,0.040208608,-0.18654947,0.42913687,0.033563796,-0.08851542,-0.08743897,-0.282656,0.01029053,-0.14248998,-0.35229135,0.23976746,-0.15655302,-0.008662569,0.33037132,0.12557413,-0.07950658,-0.13263382,-0.15360124,-0.17482223,0.2293833,0.37812278,-0.041284867,0.14275983,0.1700613,-0.3008819,-0.105117254,-0.1336204,-0.1681003,-0.104889885,-0.24883461,0.022347143,-0.21115659,-0.072773285,0.02452144,0.1940257,-0.035484336,-0.46004927,0.11284278,0.11693224,-0.15748724,-0.10087825,0.102729104,0.02080722,-0.08129142,-0.0888768,-0.6564291
birthPlace,0.03165376,-0.1688422,-0.11495261,0.08202199,0.12044604,-0.1589667,0.07528793,-0.16993217,0.06532247,0.21351877,-0.047013275,-0.14652154,0.45457783,-0.047629025,-0.18346955,-0.13727067,-0.10661701,-0.050231308,-0.28283492,-0.09380589,-0.025642624,0.0237502,-0.08170217,0.1611068,-0.06242724,0.06413706,0.08823901,-0.20215885,0.05399944,0.040050346,0.14394307,-0.16218546,-0.06133722,0.16113085,-0.037785973,-0.026315233,-0.05584415,-0.022054043,-0.20992067,0.07442368,-0.099381186,-0.18325701,-0.059808467,0.20448059,0.16994794,-0.16166794,-0.01840949,0.1980285,0.2716776,-0.12008951,0.10046597,-0.1224993,0.28101227,0.17909066,0.14638287,-0.055127375,-0.08425786,-0.1673575,0.06654261,-0.16063902,-0.009722456,-0.04682106,-0.06018664,-0.1412321,0.059709623,0.09840709,-0.029772032,-0.10200363,-0.11305286,0.0006089189,-0.16326156,0.44590014,0.0054179183,-0.047808237,-0.06651094,0.07129533,-0.14182289,-0.08323814,-0.03282433,-0.29743463,0.048810117,-0.056390885,0.05404491,-0.3740759,0.101235725,-0.13432917,-0.085622124,-0.18417257,0.07158874,0.010530179,0.009336088,0.1120781,-0.18915771,0.28374237,-0.09472184,0.015089817,0.026610047,-0.17059487,0.035847384,-0.19020338,-0.31269798,0.006903224,0.11170642,0.32669613,0.32015,0.102863885,0.09837042,-0.062908165,-0.31117246,-0.11021444,0.03087394,-0.0662338,0.27919504,-0.0079652965,0.2236939,0.012772876,-0.35869014,-0.07297846,0.14666581,-0.11071257,-0.17612997,-0.19578253,0.26504955,0.39336613,0.060279436,-0.20983149,0.19641453,0.24077293,0.37231973,-0.051889863,0.058351763,-0.17976767,-0.048544183,0.10565043,-0.04423059,-0.29697448,0.09632376,-0.06298708,-0.16343187,0.024080738,-0.14331159,-0.06535269,0.0063247876,0.07263602,0.2582537,0.21506138,0.2656351,-0.15457581,-0.103276595,0.01128961,-0.14239924,-0.035632372,-0.11436095,-0.14861394,0.0267556,-0.08654808,-0.117668234,-0.033383347,-0.08880724,0.04261395,0.20940354,-0.006040016,-0.07334989,0.22996718,-0.0017122761,0.2873273,-0.081279114,0.48706508,-0.02111616,-0.17235436,-0.27265856,0.031894963,-0.065402985,-0.068207964,0.21127991,-0.15680812,0.32258317,0.021632014,0.047692586,0.02705592,0.046395127,-0.024117753,-0.16618924,0.25444046,-0.036688488,-0.118157804,0.21807815,-0.02467381,0.28458852,0.24384178,-0.27356568,0.1940369,0.21544741,-0.088787064,-0.18354484,0.029341612,-0.10462579,-0.20299232,-0.19939063,0.033994842
deathPlace,-0.104977936,-0.13515306,0.23543002,-0.20281053,0.074947976,0.042328432,0.0018542397,-0.30499083,-0.033680387,0.078454524,0.067887135,0.2608812,0.052281544,-0.043550856,0.28212118,0.029237723,-0.38369724,0.067090854,-0.32547778,0.51934195,-0.33851546,0.018289886,-0.13467033,-0.31627077,0.13657792,0.16470602,-0.01803198,-0.13055801,-0.2013747,0.078138314,0.08896639,0.023908312,0.18641786,0.0007729392,0.16824068,0.0997367,0.049250513,0.23280393,0.1397766,-0.04337815,0.069114365,-0.06804577,-0.11475484,-0.042381234,0.17966892,-0.3409449,-0.105158985,0.059150595,0.050461363,-0.14204927,-0.21401472,0.03469452,0.08835971,0.15389024,-0.0314177,-0.3598645,0.23938285,-0.08604177,-0.12748499,0.112910785,0.06848665,-0.040562708,0.050818227,0.2768255,0.0063974126,0.10723753,0.09495385,0.020560673,0.11874205,-0.15839237,-0.033785667,0.12619081,-0.12166148,-0.5420296,-0.07526329,-0.20460175,0.015949486,0.024604067,0.14887424,0.1403971,-0.1358155,0.2135361,-0.13730095,-0.032181945,0.427991,0.28165114,0.15265022,-0.23465636,0.53134125,-0.3359475,-0.13294765,-0.11521511,0.23686403,-0.19607572,-0.21694851,-0.030061498,-0.0680678,0.023112945,-0.09011274,0.194605,0.04650846,0.20042771,-0.13961004,-0.00092729804,0.13789144,-0.028535765,0.028102389,0.0065169153,-0.3066059,-0.04193973,0.23891474,-0.025236279,0.26253265,-0.16811584,0.2080402,-0.10061782,-0.15962869,0.13172287,-0.09988757,-0.030237554,-0.17262018,-0.25317445,0.22340627,0.037527297,0.028834917,-0.11814164,0.19972079,-0.11771664,0.10353081,-0.06191418,0.11791273,0.24181531,0.0054949187,-0.032309487,0.015021242,0.1952868,-0.116341114,-0.3000773,-0.2412583,-0.20654601,-0.22239886,0.10207522,-0.022570498,0.1174175,0.22071776,0.1396653,-0.2550611,-0.0057720593,0.31368923,-0.04917735,-0.3838413,-0.1920367,-0.41280508,0.1649023,-0.20049894,-0.004091049,-0.1483213,-0.19565825,0.006083929,-0.43218037,0.20240855,0.02825875,0.34780455,-0.3050233,0.12139279,-0.25466594,0.042150125,0.23743136,-0.09417917,0.12095504,-0.055340942,0.008296191,-0.26322687,0.098208085,0.3587959,0.075680844,-0.20838353,0.020336365,0.33237317,-0.29173326,0.16232859,-0.078687854,0.28517485,0.05141303,0.10669758,-0.105135314,-0.11231881,0.1865064,-0.12980567,-0.13485089,-0.11708209,-0.014487694,-0.21934982,-0.25445116,0.14791688,0.08495097,-0.26778415,-0.28006774,-0.03999841,0.07842544
foundationPlace,0.2424851,0.1106404,-0.10483378,-0.031113498,-0.23131572,0.051413637,-0.093642585,0.033291917,-0.05496032,0.037923634,0.10343065,-0.06883103,0.24987267,-0.073468335,-0.19344841,-0.11959539,0.3305878,0.19727933,-0.20924492,-0.05459848,0.08757101,0.18345614,-0.20231159,0.074546024,0.05087884,-0.16629767,-0.08392295,-0.13282157,-0.27515516,0.06855821,0.3787102,-0.2817793,0.21189594,-0.28193825,0.2909413,-0.18436384,0.15435469,-0.071428925,-0.073786005,-0.05025808,-0.33447164,-0.13078713,-0.039008442,-0.29732746,0.5215688,0.046298794,-0.24534248,-0.011808509,-0.322134,-0.12767203,-0.29357398,0.01818304,-0.12461884,0.011038117,-0.09373973,0.39515194,-0.30764422,0.10448535,0.08898987,-0.033319946,-0.19614123,-0.11989848,0.19487089,-0.27506125,-0.014415071,-0.07817106,0.1336174,-0.16686983,0.11443084,0.21436344,0.16278993,-0.05494287,0.30133036,-0.0553349,0.0325694,-0.101200365,-0.05084553,0.30687273,0.24036945,-0.09273897,-0.016195677,0.12278717,0.21877313,0.4095064,0.06282633,-0.10674415,-0.30906355,-0.10370175,-0.52999836,0.30005747,0.0065114223,-0.16798723,-0.005538378,-0.014104789,0.20207371,-0.010448219,0.08807087,-0.22720076,-0.110986605,-0.055127278,-0.026795354,-0.07745412,0.33467007,-0.24684414,0.13022839,-0.32722864,-0.012416157,0.12415543,-0.3760187,0.18866533,-0.39683387,0.14996651,-0.13635959,0.026777364,-0.015733441,-0.029102996,0.08825052,-0.24915339,0.24335517,0.4331761,-0.57304317,-0.11523072,0.20107782,0.33464584,0.44537738,0.115164235,0.22042476,0.046328474,-0.19703884,0.10730192,-0.014632108,0.21200266,0.049519658,-0.0039174277,0.2100696,-0.036804058,0.059814908,0.1718973,-0.027251625,0.21004546,-0.006846034,-0.14312421,-0.3376369,-0.06124908,-0.024296008,0.2751418,0.25915548,0.23529893,-0.06696648,0.09163121,0.0048366524,0.07448392,-0.1235203,0.09975158,-0.0120764095,-0.09629398,-0.10378326,-0.29750702,-0.075168386,-0.1555496,0.36601293,0.29187903,0.31564647,0.17325766,-0.05216745,0.11525998,-0.26870656,0.084099084,0.029052975,-0.15452851,0.1192812,0.078735545,-0.20760511,0.0124543235,-0.14261511,0.09263651,-0.014049882,0.09454512,-0.16746272,-0.2891475,-0.12862319,0.10898867,-0.030713351,-0.061928075,0.24086823,-0.2923184,-0.105238624,0.18645972,-0.02184136,-0.05691082,-0.04563814,-0.008159913,-0.40215737,-0.10789859,0.039446846,0.2422462,0.00509889,-0.02656474,-0.115701854,0.28778327
office,0.121468574,-0.050624862,-0.103509724,-0.271676,-0.15877405,-0.13445956,-0.14827184,-0.07792552,0.03711423,0.02317049,0.16656163,-0.036342412,-0.077969074,0.32221454,-0.25110367,0.080327906,-0.14222027,-0.14063713,-0.3134569,-0.28125864,0.16082737,0.16511379,-0.20473868,-0.26168978,0.049379576,0.051095773,-0.2705337,-0.26496464,0.25729963,0.2414078,0.09767196,0.123989254,0.3321874,0.1976818,-0.102400444,0.12481451,-0.24498278,-0.14661817,0.16998443,-0.39218184,-0.14007951,0.14048737,0.06865689,0.34486163,0.04485251,-0.26685584,0.085044324,-0.07068503,-0.3104919,-0.14312501,0.11505547,0.12781967,0.14313546,-0.18774569,-0.14432046,-0.20251454,-0.19798991,0.12286088,-0.0030981856,0.10496233,0.20371585,-0.0003513162,0.28475237,-0.017247694,-0.21338637,0.17275375,-0.0019879718,-0.22197925,0.07552221,0.093980104,0.34686714,0.52585053,-0.009264289,0.12838621,-0.050048597,-0.050552536,-0.16396414,-0.23088807,-0.39228013,-0.3824276,-0.11787363,0.33329546,0.16098863,-0.13261154,0.060872238,-0.03781361,-0.14817911,-0.14017121,0.07989142,-0.099986434,0.2692345,-0.061506487,0.16958171,0.14512806,-0.21868376,0.33122057,0.26180086,0.14872068,0.19652675,0.110122636,-0.12691784,0.1256209,-0.17188793,0.22345391,0.10404319,0.1012035,-0.20153984,0.087013766,-0.13034876,0.4195295,-0.16775754,0.23343584,-0.006631854,0.13038297,-0.14217174,-0.09598965,0.11279338,0.086911164,-0.0044076843,0.08291389,0.1339214,0.104236305,-0.08771955,-0.30170888,0.038320217,0.32882205,0.23663531,0.037640087,-0.16144986,-0.24668133,-0.14795074,-0.0009639038,-0.06377427,-0.2779447,0.08817788,-0.0159912,0.10069511,0.22566535,-0.24250184,0.005387451,-0.26436082,0.100783974,-0.34749553,-0.15145925,-0.034128845,0.071855344,-0.07001867,-0.13408184,-0.3927674,-0.2268229,0.27508292,0.0063559045,0.002565915,-0.079475604,-0.24232282,-0.0154009545,-0.03270048,-0.03818343,-0.15392937,0.0866181,0.19686879,-0.32413867,0.053564545,0.09123785,0.12163255,-0.21431178,-0.005220856,0.17799824,0.16417953,0.004217957,-0.096716225,-0.119105615,-0.15252781,-0.13975601,-0.20416471,-0.009453567,0.0052478504,-0.13410918,0.037568837,0.15292612,-0.20637819,-0.24250841,-0.12426313,0.16334738,0.15457094,0.016373033,-0.031170567,0.10050114,0.17822687,0.08266286,-0.038902856,-0.17064175,-0.179334,-0.06735149,0.25504172,0.012012371,-0.0053375303,0.14338884,-0.08738913,-0.0055378056
spouse,-0.2020043,-0.23037185,0.027036415,0.032437928,-0.007150882,-0.15808463,-0.14022996,0.27620307,-0.3597297,0.02074367,-0.009802959,0.2501431,-0.082472816,0.0906965,0.25383472,0.2007965,-0.17815445,0.22500107,0.061301783,-0.02242172,-0.16603343,0.03907474,-0.030397285,-0.12863484,0.25636026,0.0122680105,-0.25724053,0.15411687,0.06232361,-0.05218925,0.09182451,-0.27643707,-0.0071748365,-0.030739374,-0.06675494,-0.09513557,0.04397062,-0.059363738,0.12228751,-0.15322696,0.15255724,-0.09486899,-0.14273761,-0.05805271,0.05602469,-0.18322435,-0.15227464,0.031513114,-0.13965835,0.11302172,-0.13408789,-0.1944349,-0.26421332,0.09246227,0.12554207,0.38193443,-0.25336784,-0.0024679692,0.042553,-0.10850638,-0.017723106,0.06981954,0.0010827936,0.14870264,0.24925904,0.113845795,-0.32875183,0.27168843,-0.34852102,-0.3079668,0.16357541,0.07198339,-0.288318,-0.13215077,0.14553614,0.008582223,-0.1414194,-0.1622822,0.16399819,0.07864322,0.22340392,-0.019620793,-0.11004386,0.013652997,-0.24832839,-0.37860078,-0.33847696,-0.15453352,0.4834904,0.072811335,0.11351294,-0.15685868,0.1278263,-0.16784786,0.29672685,-0.27835906,0.1571865,-0.16888233,0.105332576,-0.16305394,-0.07537465,0.025527874,-0.1578959,0.2600123,0.18936226,0.03423244,-0.10941833,0.3679543,-0.07294378,-0.026394656,-0.4641888,0.15889536,0.07986596,-0.059637386,-0.21081012,-0.16555811,-0.013407584,0.1507047,0.24364883,-0.058068242,-0.20656192,0.08221192,0.39571807,-0.08210214,0.13601539,-0.048761766,0.060506918,0.06636182,0.006918267,-0.11240509,0.38749835,0.2425918,-0.2555967,-0.39386177,0.21844491,0.08712625,0.15463392,-0.1521689,-0.2568686,-0.20168394,0.051069263,-0.13063802,0.049607497,-0.012136784,-0.04052734,-0.121174306,-0.30764633,-0.07493595,0.39732662,0.20745903,0.12790048,0.005459476,0.32649007,-0.22374567,-0.23711352,0.06878531,-0.105234265,0.0777548,0.13279976,0.11173996,0.040920455,-0.05528622,-0.02085586,-0.34077817,0.11349584,0.40083724,0.4269448,0.1586995,0.20365943,-0.075934455,0.23327148,-0.20864105,-0.36669698,-0.1598317,-0.25112274,0.15071902,-0.0703208,-0.283586,-0.20470664,0.049541358,-0.09875261,-0.2702146,0.203252,-0.08591688,0.21656883,0.08961869,0.07987685,-0.20447224,0.029307097,0.0046002567,-0.20989792,0.108040005,-0.23147613,0.34486803,0.18767945,0.36779445,0.13060917,-0.0060002,0.05579877,0.24381593
starring,0.09003273,-0.11494001,-0.21395044,-0.022580005,-0.32605165,-0.24423404,-0.11674198,-0.14206167,-0.06340483,0.09101933,-0.3577233,-0.049363185,-0.28460935,-0.106013335,0.0969231,-0.19398281,0.3429837,-0.14070815,0.0075065414,-0.072010085,0.18065926,0.101493366,-0.26049274,-0.19923224,-0.2012201,0.032275487,-0.13341942,0.3475408,0.021335408,-0.035697173,0.2707562,0.08152154,0.09540679,-0.006580592,-0.011723364,0.17329678,-0.07704079,-0.014775419,-0.20486945,0.16767105,-0.14619684,-0.06449916,0.40041178,0.3121042,-0.0057804645,0.22158352,-0.056653224,-0.023573697,0.35510942,0.122010306,0.073611155,0.08559358,0.22940516,-0.1726155,0.0011012227,-0.3408316,-0.14030688,0.095479414,0.20107251,0.27227437,-0.003071017,0.16135472,-0.10291668,-0.094999336,0.21129993,0.03317475,-0.1215995,0.13312382,0.38670656,0.014109359,-0.26214194,-0.14953758,0.06750684,0.124063365,0.07183157,0.062433813,0.12289831,0.19013348,0.17427841,0.007288431,-0.23494808,0.14665534,-0.036448166,0.17399015,-0.12179554,0.12421597,0.062343422,-0.0043849773,-0.11354921,-0.1928705,-0.16645081,0.3222956,-0.045171965,-0.082363226,-0.1369306,0.18421265,0.39745212,-0.21824661,-0.224265,0.006197503,0.22405136,-0.21140857,-0.2080195,-0.15053174,0.11786916,0.0397372,0.22837631,-0.1401461,-0.13218793,-0.0687438,-0.05752288,-0.20154576,0.5117777,-0.28289834,-0.079168245,0.04837882,-0.012240426,-0.1032174,-0.13614914,-0.22426462,-0.1179214,0.24134615,0.27282295,0.1498415,-0.036592815,0.20068969,-0.22183917,0.0030774933,0.052711673,-0.010814417,-0.32374477,0.17752632,-0.3840025,-0.124175906,-0.0038581062,-0.06660514,0.09148367,-0.32199818,0.2758281,0.0036097611,0.19867785,0.24721393,-0.37206012,-0.101084806,0.15683037,0.08238957,0.2743543,-0.14453338,-0.11000948,0.016558273,-0.12353181,0.039210733,-0.013202587,-0.019557854,0.008218562,-0.048567146,0.05759263,0.3127571,-0.09428056,0.14020689,0.22083521,0.13566129,0.094234325,0.15099032,-0.006602421,-0.030509014,-0.24013196,0.022714566,-0.34208718,-0.2604164,0.107534684,0.16653872,-0.20801291,-0.2110846,0.11572054,0.12970169,-0.07519441,-0.24991004,-0.19135135,-0.04146758,0.20438227,-0.20452073,0.43170136,-0.3973117,0.33819813,-0.10600413,0.06919241,0.03002339,0.083431825,-0.19684742,-0.038021855,-0.241954,0.013197963,-0.24580438,0.0070259296,0.24704239,0.08401096,0.08168926,0.34339094,0.07431451
subsidiary,0.11129285,-0.10681894,0.17594072,-0.09272439,-0.027516501,-0.24669315,-0.030215569,-0.32386956,0.08811808,0.2122671,-0.15828024,0.2737295,0.04010638,0.12468739,0.2099763,0.0185767,-0.010434921,0.04121476,0.39348277,-0.05201636,0.14908469,-0.017723758,0.1592947,-0.32667622,-0.21646908,0.48521614,-0.21169253,-0.06740138,-0.21436149,0.023386415,-0.056135908,0.158156,0.03137001,-0.16097184,0.122018166,-0.19377312,-0.031963136,0.0013897273,-0.32070366,0.13400485,-0.4387697,0.10302475,0.036123898,-0.15426154,0.0066077476,0.05456218,-0.05330353,-0.0127245635,0.10029842,-0.07413746,-0.22476976,-0.00905406,0.2736025,-0.079346634,-0.06889723,-0.31147,-0.09120111,0.15804398,-0.18322198,-0.30084205,-0.34879324,0.102891974,-0.33272174,0.05988584,0.090511076,0.13723579,-0.06518552,0.017396478,-0.030092498,-0.04356392,0.18119618,0.18655387,0.25533056,0.03896923,0.060154773,-0.1119871,0.22616936,0.3001014,-0.11266733,0.17578726,-0.089892246,-0.37791887,-0.028183874,-0.16476336,0.0092881,0.19657092,0.07607138,0.028168432,0.24350333,-0.23229289,-0.011840898,0.16884935,0.13417624,-0.0056800377,0.021485968,-0.040203582,0.15240182,0.1701833,-0.055230502,-0.35408345,-0.094590925,0.05039628,0.21171288,0.18259397,0.3318464,-0.31178313,0.19268881,-0.15421736,0.09570796,0.06445069,-0.27024475,0.34966317,0.02401898,0.18312754,-0.09428699,-0.13208292,0.022740351,0.19404128,-0.12911107,-0.053280454,0.11003525,0.18444589,0.22394393,-0.17399576,0.034104906,0.0985025,0.11052085,0.07769941,-0.12966713,0.21914558,0.22775577,0.15830444,0.104742184,0.17454438,-0.06322418,-0.03747189,0.082243904,0.18924849,0.0020781388,0.3097153,0.10727276,-0.11768434,0.08305754,0.3032512,0.27408284,0.2600142,-0.1112145,0.21353005,-0.055258945,-0.17027013,0.04264818,0.027329337,-0.018715827,0.40842968,0.02836642,0.11824434,0.13106589,-0.24562958,-0.10279193,-0.118140556,-0.05723304,0.18042056,0.031455554,0.020520499,0.043961372,-0.14361256,0.24975361,-0.17877561,-0.37499884,0.16264483,-0.070212625,-0.036722027,0.018562619,0.05638858,-0.1868883,0.045157723,-0.20304008,-0.4801754,0.09101535,-0.23558405,0.0045959107,-0.24623463,0.03071751,-0.035638686,-0.0625769,-0.05541578,0.008090055,0.14221197,0.116915435,0.12411962,0.03150729,0.2885022,-0.56066585,0.1330757,-0.19334285,0.18806264,-0.1337374,-0.062320746,0.39192525,0.06818926
team,-0.11510522,-0.021708565,-0.101832666,-0.011571946,0.20561607,0.08271523,0.12503983,0.018088486,-0.20960495,-0.025071573,0.14059538,0.3739688,-0.09107116,0.0963483,0.3016697,-0.1600212,0.28313658,-0.050322197,-0.030799849,-0.13612986,-0.34470442,0.14994235,0.7535929,-0.0185305,0.0644573,0.09189749,-0.45575324,-0.23611508,0.32774705,-0.11609458,-0.16711545,-0.02651721,0.2599641,0.08605572,0.18026622,-0.1658329,0.22159165,0.12394532,-0.073665224,0.047395773,0.081558354,-0.0962845,0.1654827,-0.022339333,0.101006135,-0.33728808,-0.1224534,-0.0977004,-0.26303202,-0.076360606,-0.17301135,-0.36205027,0.2679296,0.0154016195,-0.2723147,0.035286233,-0.093097694,0.0033519953,0.046636894,0.051008094,-0.020008633,0.23995167,0.100144334,0.17647935,0.3084449,-0.033262823,0.34202862,-0.039236244,0.20482601,-0.55628616,-0.14927535,0.030183932,0.40832415,-0.29170316,-0.034411483,0.2516153,0.215986,0.012697054,-0.043256544,0.11201759,-0.35162112,-0.17081243,0.14295968,0.21084167,0.1384351,-0.20074667,-0.066512406,-0.1481752,-0.18333523,0.22163866,0.0052801594,0.08622468,-0.1800852,-0.029326422,-0.32365948,0.036877908,-0.10876753,0.21217789,0.020186765,-0.20381087,-0.41081136,-0.044011828,-0.19017379,0.031128133,0.05087096,0.15290174,0.14025213,-0.17190643,0.20432575,0.047007516,0.16391766,0.1548941,0.4823396,-0.0806682,0.31799898,0.22499509,-0.14856437,-0.13339107,0.07792592,-0.06862477,0.007310745,0.25928,0.13274759,-0.15129533,0.01802529,-0.1499029,0.3016958,0.018935693,0.0012568849,-0.35158077,-0.028065817,-0.098762415,0.038146973,0.029317219,0.14597146,0.08515778,-0.15774225,-0.100772,-0.14049597,-0.15898715,-0.33509135,-0.101772055,0.085574724,0.24218561,-0.10945392,0.11502894,0.24782173,-0.10950457,-0.19739965,0.020742975,-0.23175646,0.11875413,-0.16767786,-0.3173042,-0.08864488,0.09432593,0.18716483,0.62011564,0.20399652,0.086490795,0.31080833,0.19023968,-0.11870156,0.07469503,0.2551485,-0.27293083,-0.023249669,-0.42338496,0.11555094,0.058147337,0.029962303,-0.41279024,-0.35446993,0.21150884,-0.061290998,0.037198484,-0.098490976,0.19083929,-0.0529685,0.21189766,0.0060297702,0.22116683,-0.21493946,0.11237718,0.06784073,-0.12096595,-0.21335006,-0.121508665,0.15395229,0.21439023,-0.1675289,0.121501505,0.14870894,-0.02301953,-0.16687621,0.06409037,0.16288747,-0.08208623,-0.03653719,0.15336095
