,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1634:_The_Ram_Rebellion,0.026286766,0.04647505,-0.076220386,-0.029546203,0.027106302,-0.047041435,0.0065508196,0.02302284,0.08510449,-0.023103107,-0.06284094,-0.08545212,-0.048587874,-0.038835343,-0.03633269,0.008602793,0.035820976,0.053308107,-0.025329687,-0.03284241,-0.12050392,0.04027602,0.0062814383,0.010531974,0.059716918,-0.012467774,-0.029753909,0.017891772,-0.08469099,-0.043103557,0.06851981,-0.0751452,-0.10807385,0.020920504,-0.05491679,0.0093856165,0.023615817,-0.036995195,0.029618384,-0.08130483,-0.05242242,0.029521832,-0.02426153,-0.023090808,-0.03235858,0.068043634,0.0007531901,-0.068874344,0.014902178,-0.010095774
1635:_The_Cannon_Law,-0.05905648,-0.052173585,-0.110542715,-0.0011632357,0.13776141,-0.0023306145,-0.09747426,-0.007207207,0.08080291,-0.048463225,0.11912271,0.08572502,0.031255916,0.08538845,-0.09946219,-0.07165077,0.047648057,-0.013775658,-0.04554935,-0.07214699,0.010884503,-0.052593213,0.06882486,0.0002928796,-0.037290584,-0.08842533,0.04338492,0.06995022,0.09774322,0.03557574,-0.04528793,-0.0355454,0.033252217,-0.089030646,0.057773996,0.02766835,-0.036981795,0.057233803,-0.02912192,0.017135233,-0.017172383,-0.08332998,-0.06265871,-0.017094044,0.11119331,-0.057304084,0.04309394,-0.065756515,-0.0041933525,-0.06770349
2012_(film),9.796726e-05,0.0062957234,-0.014634352,-0.11571524,0.038427055,0.06587522,-0.032333124,-0.03754651,-0.11323239,-0.03520594,0.033471715,-0.06704954,0.0028572567,0.02314301,-0.047301225,-0.039460264,0.028686598,0.04956016,0.092954874,-0.05558263,-0.01134716,0.0029914086,-0.089724466,-0.05022177,0.05049064,0.018586922,0.056352373,-0.037036486,-0.003746811,-0.007770448,-0.056883115,-0.021656537,0.022024348,0.0022147964,-0.07134603,-0.07471066,-0.009758085,-0.012813295,-0.016381403,-0.027836138,0.049725164,0.02894334,-0.03485816,-0.03346604,-0.009860151,-0.012476024,-0.02080733,-0.1024314,0.06507929,0.0073728906
334,0.029560773,0.08820108,0.054024786,0.0710144,0.054105964,0.04066713,0.020603929,0.04042392,0.08278416,-0.029636329,0.01274333,0.07360827,-0.0008600853,-0.032095764,0.08417184,-0.07383434,0.053639103,-0.03693408,0.10820036,0.1313581,0.107231155,0.013222371,-0.06802945,-0.0065331417,-0.039757695,-0.03841607,-0.04916423,-0.0057597044,0.05233008,0.012541534,-0.045354605,0.0455745,-0.003656955,-0.013619638,0.05430637,0.08106573,0.009873254,0.0029183947,0.04374098,0.052997928,-0.035522643,-0.07940074,0.027127748,0.044442736,0.023223972,0.06541241,-0.00042545257,0.100083,-0.03641671,0.03715726
360Commerce,0.06702202,0.0059146793,0.07419176,0.008014755,0.067248315,0.09898965,0.053527918,-0.0057035526,-0.023552349,0.03750303,0.0526035,0.022048859,0.019958455,-0.0791344,-0.011584909,-0.020475604,0.047577463,0.05245448,0.06978678,0.043614246,0.06983817,-0.028586933,0.0063379416,-0.048322324,0.015773872,0.006056903,-0.037137635,0.01873627,-0.023688588,0.020112023,-0.013050451,0.066969655,-0.05986154,0.043098662,0.023219112,0.08401977,0.053181846,-0.049333606,0.09993136,0.075293064,-0.014944565,-0.048334435,0.0009030919,0.06805006,-0.060684737,-0.073346816,0.06889997,0.061352428,-0.1058223,0.0806201
A._E._van_Vogt,-0.018654274,-0.055635717,0.053581752,0.11344924,-0.07860984,-0.020127332,-0.023686633,-0.024966512,0.06017785,-0.019883484,0.043369614,-0.018779932,-0.019122634,0.06276273,0.022377051,-0.04085917,-0.01816696,-0.015450542,0.02249148,0.009208231,-0.039755836,-0.08963332,-0.04453487,0.017307453,-0.054266017,0.06994218,-0.016861696,0.0040432396,-0.0033050042,0.040549155,0.025476426,-0.04279582,0.045253158,-0.0892841,0.006381705,0.0074885697,-0.033700213,-0.12551877,0.026558401,-0.016396726,-0.01020184,0.00993931,-0.011720518,0.039177787,-0.025721721,-0.07290756,0.029979669,0.0599338,0.028660342,-0.007356202
ABC_Family_Worldwide_Inc.,0.08440883,-0.01091281,0.0072873184,0.017716888,0.0075812405,-0.027903782,-0.055336896,0.017084962,0.032180455,-0.01719013,-0.050308928,-0.051159356,0.10986203,-0.02022798,0.04781315,-0.015805526,-0.051333483,0.021976639,-0.021463286,-0.032531675,-0.033060648,-0.028981997,-0.003630335,0.017192941,0.00015298744,-0.030342905,0.046866182,0.05321458,-0.05252749,0.027371714,0.039754793,-0.023329964,-0.04191806,-0.014539332,-0.015655551,0.010415299,-0.0057931207,-0.005005431,-0.011693973,-0.02439845,0.022058947,-0.012731713,0.026630336,0.06879129,-0.0006078756,0.039139878,0.0021193663,-0.0018195843,0.05674039,0.06101246
ADC_Telecommunications,0.04016474,-0.023378996,0.033989258,0.091006696,-0.011531007,0.014734143,-0.031105293,0.0023402025,-0.039216932,0.044120904,0.004561925,0.03429477,-0.010970486,-0.01072012,0.0117497975,0.00090383476,0.014997186,0.0021330018,0.054146793,-0.054440323,0.077609405,0.017719395,0.10262216,0.017765287,-0.00071398163,0.04782605,0.050459545,-0.06720046,-0.041814458,0.023529645,-0.001806902,-0.07964154,0.03633224,0.025991917,-0.046626426,-0.012499844,-0.010523814,-0.042723972,0.0061330916,-0.020848682,-0.02421148,0.09776814,0.03752829,-0.0014516937,-0.0241132,0.09029747,-0.10238349,-0.04418811,0.07097576,0.019013634
AOL,0.074781135,0.022264922,-0.007176477,0.017548122,-0.017810948,0.083055764,-0.07973012,-0.0005999198,-0.06734142,-0.014199775,-0.042244684,0.0051984424,0.1311921,-0.023425661,-0.054301333,-0.02722144,-0.003279699,0.08516066,-0.013194746,-0.0075604618,-0.03151142,0.009277882,-0.012152866,-0.042681042,-0.009575964,-0.02053471,0.027210044,-0.054543905,-0.027914897,0.044772018,-0.010774441,-0.049449407,-0.014897342,-0.010678832,-0.08073611,-0.020305993,-0.009722694,-0.027069068,0.009214439,-0.08180374,0.03519804,-0.0035591451,-0.062841184,-0.03899892,0.012990618,0.03365993,0.024957856,-0.07814468,0.05808166,-0.06403167
A_Calculus_of_Angels,0.0042926176,0.025164863,0.04613702,0.015518772,-0.07044681,-0.07592876,0.035726093,0.008073289,0.0050130878,0.004377485,0.032150313,0.004794671,0.059723813,-0.054249797,0.04655343,0.03845224,0.015465451,-0.069436625,0.04349528,0.059110355,0.065176174,-0.031209342,-0.029076753,0.02028295,-0.05333352,0.0249979,-0.020142945,-0.024996605,0.032664068,0.03474677,-0.09531579,0.041054152,0.047602396,-0.026884884,0.07285922,0.00069864234,0.030890506,0.013252754,0.066178896,0.019757017,0.0030985337,-0.050141595,0.056698576,0.049948823,-0.012273742,-0.006118359,0.047464978,0.06453065,-0.06603572,0.009200393
A_Canticle_for_Leibowitz,-0.01208919,0.051691327,0.0714913,-0.0385261,-0.07774765,-0.046044108,0.01649066,-0.0480839,0.022695892,-0.032289766,0.018382574,-0.013411943,0.01803883,0.0048577935,0.0704738,-0.011988608,-0.049583506,-0.0053988914,-0.018907147,-0.041818254,0.03260363,0.01663421,-0.079495095,0.0057249907,-0.024891108,-0.09851553,0.026468784,0.057269804,0.03446276,-0.02380045,0.015719503,0.036893785,-0.017823143,0.0020936104,-0.0024819763,0.019921616,0.039240617,0.062431425,-0.038456153,0.0027678797,0.028463759,0.0048933504,-0.021658573,0.020835806,0.04277661,-0.056718167,-0.05375618,-0.061239507,0.0027025847,-0.026562313
A_Connecticut_Yankee_in_King_Arthur's_Court,-0.034043282,-0.022988051,0.0056227334,-0.0044558034,0.037127815,-0.028148139,-0.018579744,-0.05235497,0.0071494062,-0.10696041,0.085172206,0.034556974,0.07956878,-0.007009335,-0.0061509996,0.005739689,-0.05729926,-0.008521396,0.006845245,-0.055755727,0.055952977,0.044528846,-0.010705561,0.06542904,0.0045157,-0.0396693,0.09450181,-0.025068205,0.09458786,0.01344298,-0.04035973,0.08414565,0.05836579,-0.010641428,0.01628136,0.019613123,-0.033844806,0.07171048,-0.012096718,0.052604042,-0.012604439,-0.048785545,-0.0279152,-0.025579331,-0.040522613,0.020520806,-0.089755625,-0.05190434,-0.070782304,-0.01642195
